device_class,device_name,file_urls,files,firmware_version,release_date,vendor
Router,Archer A7,https://static.tp-link.com/upload/software/2022/202202/20220221/TP-LINK USB Printer Controller Installer.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202202/20220221/TP-LINK%20USB%20Printer%20Controller%20Installer.zip', 'path': 'TP-LINK%20USB%20Printer%20Controller%20Installer.zip', 'checksum': 'cc7df0306a5ffe03b02e232aa4d834f1', 'status': 'uptodate'}]",V5,21-02-2022,TP-Link
Router,Archer C1200,https://static.tp-link.com/upload/software/2022/202202/20220221/TP-LINK USB Printer Controller Installer.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202202/20220221/TP-LINK%20USB%20Printer%20Controller%20Installer.zip', 'path': 'TP-LINK%20USB%20Printer%20Controller%20Installer.zip', 'checksum': 'cc7df0306a5ffe03b02e232aa4d834f1', 'status': 'uptodate'}]",V3,21-02-2022,TP-Link
Repeater,TL-WA860RE,https://static.tp-link.com/upload/firmware/2022/202201/20220119/TL-WA860RE_V6_211208.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202201/20220119/TL-WA860RE_V6_211208.zip', 'path': 'TL-WA860RE_V6_211208.zip', 'checksum': '2e93ff1063de3b4763c1bf7f7513fc75', 'status': 'uptodate'}]",V6,19-01-2022,TP-Link
Router,TL-MR3020,https://static.tp-link.com/upload/firmware/2022/202204/20220412/TL-MR3020(EU)_V3.20_211118.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202204/20220412/TL-MR3020(EU)_V3.20_211118.zip', 'path': 'TL-MR3020(EU)_V3.20_211118.zip', 'checksum': 'ca5e9093c87934e1cbb6afe06343a8c6', 'status': 'uptodate'}]",V3.20,12-04-2022,TP-Link
Repeater,RE305,https://static.tp-link.com/upload/firmware/2022/202210/20221014/RE305_V4_220805.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202210/20221014/RE305_V4_220805.zip', 'path': 'RE305_V4_220805.zip', 'checksum': '781c24fd70426d119fd666e7bfe72f78', 'status': 'uptodate'}]",V4,14-10-2022,TP-Link
Router,TL-MR3420,https://static.tp-link.com/2021/202105/20210526/TL-MR3420(EU)_V5_210319.zip,"[{'url': 'https://static.tp-link.com/2021/202105/20210526/TL-MR3420(EU)_V5_210319.zip', 'path': 'TL-MR3420(EU)_V5_210319.zip', 'checksum': '16aed2bea6d44c89030f1675d20011cc', 'status': 'uptodate'}]",V5,26-05-2021,TP-Link
Router,TD-W9960v,https://static.tp-link.com/2020/202012/20201216/TD-W9960v(DE)_V1_201118.zip,"[{'url': 'https://static.tp-link.com/2020/202012/20201216/TD-W9960v(DE)_V1_201118.zip', 'path': 'TD-W9960v(DE)_V1_201118.zip', 'checksum': '6923bcc022fe7dd51ef07694b7539d9c', 'status': 'uptodate'}]",V1,16-12-2020,TP-Link
Repeater,RE220,https://static.tp-link.com/upload/firmware/2021/202108/20210806/RE220_V3_210608.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2021/202108/20210806/RE220_V3_210608.zip', 'path': 'RE220_V3_210608.zip', 'checksum': '5dbfab5fd7097af0eddc10accb408860', 'status': 'uptodate'}]",V3,06-08-2021,TP-Link
Repeater,RE190,https://static.tp-link.com/2021/202105/20210528/RE190(EU_NL)_V5_210408.zip,"[{'url': 'https://static.tp-link.com/2021/202105/20210528/RE190(EU_NL)_V5_210408.zip', 'path': 'RE190(EU_NL)_V5_210408.zip', 'checksum': '1ab63ac50b083cdff60e1427a1a50d48', 'status': 'uptodate'}]",V5,28-05-2021,TP-Link
Router,Archer VR2100v,https://static.tp-link.com/upload/firmware/2022/202209/20220916/Archer_VR2100vV1_1.14.0_0.9.1_220719.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202209/20220916/Archer_VR2100vV1_1.14.0_0.9.1_220719.zip', 'path': 'Archer_VR2100vV1_1.14.0_0.9.1_220719.zip', 'checksum': '45769c5de29d70ad35cee74d9d4c51b1', 'status': 'uptodate'}]",V1,16-09-2022,TP-Link
